,Date,Word Distribution,Word Count,Pair Variance,Word Variance
0,"Feb, 2013",30.571799870045485,9234.0,7.473193978121954,21.193415637860085
1,"Mar, 2013",33.835182250396194,2524.0,10.186286167261196,42.234548335974644
2,"Apr, 2013",26.296296296296294,14040.0,4.893510933827196,21.18233618233618
3,"May, 2013",27.070466552570878,13439.0,5.149575829736568,21.17717092045539
4,"Jun, 2013",0.0,0.0,0.0,0.0
5,"Jul, 2013",0.0,0.0,0.0,0.0
6,"Aug, 2013",61.39817629179332,329.0,35.97560975609756,68.9969604863222
7,"Sep, 2013",28.62730717516196,8181.0,5.97799511002445,26.87935460212688
8,"Oct, 2013",24.882075471698112,12720.0,5.031842125953298,24.732704402515722
9,"Nov, 2013",27.263581488933603,6958.0,5.950840879689522,31.560793331417074
10,"Dec, 2013",32.843587389041936,3267.0,8.542559706062463,41.47535965717784
11,"Jan, 2014",25.59583599671263,10951.0,3.981735159817352,27.39475846954616
12,"Feb, 2014",26.29747314268422,13218.0,5.258379359915261,21.705250416099258
13,"Mar, 2014",32.70645952575634,2446.0,10.34764826175869,45.99345870809485
14,"Apr, 2014",27.24742268041237,9700.0,4.5365501598102895,27.154639175257735
15,"May, 2014",28.362600854295206,10535.0,4.670590468957661,25.923113431419083
16,"Jun, 2014",34.980826587132505,4694.0,9.31174089068826,28.52577758841074
17,"Jul, 2014",100.0,126.0,83.2,70.63492063492063
18,"Aug, 2014",0.0,0.0,0.0,0.0
19,"Sep, 2014",27.221644120707595,9610.0,5.963159537933187,27.388137356919874
20,"Oct, 2014",27.309921581997955,11732.0,6.640525104424174,25.238663484486874
21,"Nov, 2014",31.964515667477468,6989.0,9.61648540354894,25.91214766060953
22,"Dec, 2014",34.46777697320782,2762.0,8.801159000362189,43.12092686459088
23,"Jan, 2015",24.56162168884467,16082.0,4.576829799141844,22.677527670687724
24,"Feb, 2015",27.878006872852236,9312.0,5.488132316614757,27.222938144329895
25,"Mar, 2015",39.44116066630844,1861.0,12.526881720430108,44.92208490059108
26,"Apr, 2015",25.76451008945288,9614.0,5.066056381982731,27.980029124193884
27,"May, 2015",25.4698639014906,10801.0,4.018518518518518,26.219794463475605
28,"Jun, 2015",69.92753623188406,276.0,40.36363636363636,66.30434782608695
29,"Jul, 2015",0.0,0.0,0.0,0.0
30,"Aug, 2015",0.0,0.0,0.0,0.0
31,"Sep, 2015",31.805259417199714,5628.0,6.610982761684735,32.58706467661692
32,"Oct, 2015",28.841974542067682,9663.0,4.729869592216932,26.140950015523128
33,"Nov, 2015",32.250935056103366,5882.0,6.325454854616562,30.703842230533834
34,"Dec, 2015",35.532786885245905,2440.0,9.96309963099631,43.9344262295082
35,"Jan, 2016",30.008193363375668,9764.0,5.080405613028782,25.14338385907415
36,"Feb, 2016",30.101045913845066,11282.0,4.627249357326478,23.97624534656976
37,"Mar, 2016",32.29166666666667,2976.0,8.840336134453782,40.35618279569893
38,"Apr, 2016",31.756593273651102,8266.0,5.505142165759225,27.195741592063875
39,"May, 2016",31.16004855210682,5767.0,6.677072493929933,31.99237038321484
40,"Jun, 2016",0.0,0.0,0.0,0.0
41,"Jul, 2016",0.0,0.0,0.0,0.0
42,"Aug, 2016",0.0,0.0,0.0,0.0
43,"Sep, 2016",30.646072706724432,5309.0,6.951770911831198,34.37558862309286
44,"Oct, 2016",26.237493417588205,15192.0,3.9628727536041075,23.420221169036335
45,"Nov, 2016",33.896060906984445,3021.0,8.443708609271523,41.509433962264154
46,"Dec, 2016",30.1141924959217,6130.0,5.677924620655898,31.158238172920065
47,"Jan, 2017",32.85616905248807,4401.0,7.363636363636364,34.355828220858896
48,"Feb, 2017",28.221014034644078,7909.0,5.589276681841174,31.06587432039449
49,"Mar, 2017",37.769562538508936,1623.0,11.713933415536374,49.53789279112754
50,"Apr, 2017",29.42583732057416,5852.0,6.528798495983593,34.02255639097744
51,"May, 2017",36.951278340569225,2073.0,10.135135135135135,46.30969609261939
52,"Jun, 2017",89.05109489051095,137.0,75.73529411764706,83.94160583941606
53,"Jul, 2017",0.0,0.0,0.0,0.0
54,"Aug, 2017",67.09323583180988,547.0,35.714285714285715,50.822669104204756
55,"Sep, 2017",33.6734693877551,2646.0,9.073724007561438,44.406651549508695
56,"Oct, 2017",31.7309765035568,4639.0,7.0504527813712805,34.33929726234102
57,"Nov, 2017",0.0,0.0,0.0,0.0
58,"Dec, 2017",0.0,0.0,0.0,0.0
